epoch,train_loss,lr
1,1.579653,0.00002422
2,1.093433,0.00002489
3,0.867591,0.00002600
4,0.775557,0.00002755
5,0.721926,0.00002953
6,0.687939,0.00003196
7,0.655888,0.00003481
8,0.628908,0.00003810
9,0.596220,0.00004180
10,0.575946,0.00004592
11,0.545558,0.00005046
12,0.523350,0.00005539
13,0.500077,0.00006072
14,0.482366,0.00006644
15,0.464230,0.00007254
16,0.449355,0.00007901
17,0.429320,0.00008583
18,0.416567,0.00009301
19,0.401743,0.00010052
20,0.385049,0.00010836
21,0.373691,0.00011651
22,0.361110,0.00012496
23,0.353610,0.00013371
24,0.339603,0.00014272
25,0.332884,0.00015200
26,0.322337,0.00016153
27,0.311000,0.00017128
28,0.304932,0.00018126
29,0.297642,0.00019143
30,0.290926,0.00020179
31,0.281139,0.00021233
32,0.277237,0.00022301
33,0.269138,0.00023383
34,0.264258,0.00024478
35,0.258294,0.00025582
36,0.252857,0.00026696
37,0.247940,0.00027816
38,0.240648,0.00028941
39,0.241845,0.00030070
40,0.233527,0.00031201
41,0.231020,0.00032332
42,0.229772,0.00033461
43,0.226103,0.00034586
44,0.219890,0.00035706
45,0.213801,0.00036820
46,0.213359,0.00037924
47,0.207867,0.00039019
48,0.202457,0.00040101
49,0.200108,0.00041169
50,0.197711,0.00042222
51,0.197609,0.00043259
52,0.192794,0.00044276
53,0.188237,0.00045273
54,0.187425,0.00046249
55,0.183654,0.00047202
56,0.181903,0.00048129
57,0.180898,0.00049031
58,0.178908,0.00049905
59,0.177981,0.00050751
60,0.174050,0.00051566
61,0.171001,0.00052350
62,0.168978,0.00053101
63,0.167065,0.00053818
64,0.164717,0.00054501
65,0.164232,0.00055147
66,0.162567,0.00055757
67,0.161901,0.00056329
68,0.158802,0.00056862
69,0.155206,0.00057355
70,0.155095,0.00057808
71,0.152690,0.00058221
72,0.148974,0.00058591
73,0.151049,0.00058919
74,0.147833,0.00059205
75,0.146870,0.00059447
76,0.145419,0.00059646
77,0.142695,0.00059801
78,0.141835,0.00059911
79,0.139372,0.00059978
80,0.140918,0.00060000
81,0.137518,0.00059990
82,0.137505,0.00059959
83,0.136859,0.00059907
84,0.133210,0.00059836
85,0.133542,0.00059743
86,0.133114,0.00059630
87,0.130730,0.00059497
88,0.128990,0.00059344
89,0.128526,0.00059171
90,0.126805,0.00058977
91,0.125881,0.00058764
92,0.126250,0.00058531
93,0.125123,0.00058279
94,0.123310,0.00058007
95,0.123827,0.00057716
96,0.121509,0.00057406
97,0.120423,0.00057077
98,0.118549,0.00056730
99,0.118757,0.00056364
100,0.117755,0.00055980
101,0.118408,0.00055578
102,0.115611,0.00055159
103,0.115712,0.00054723
104,0.113321,0.00054270
105,0.112903,0.00053800
106,0.111938,0.00053314
107,0.111789,0.00052811
108,0.110450,0.00052293
109,0.111672,0.00051760
110,0.109616,0.00051212
111,0.108462,0.00050650
112,0.106864,0.00050073
113,0.107185,0.00049482
114,0.106078,0.00048879
115,0.104675,0.00048262
116,0.104934,0.00047632
117,0.104921,0.00046991
118,0.103283,0.00046338
119,0.102497,0.00045674
120,0.102034,0.00044999
121,0.102282,0.00044314
122,0.101641,0.00043619
123,0.100488,0.00042914
124,0.099664,0.00042201
125,0.098306,0.00041479
126,0.098410,0.00040750
127,0.097513,0.00040013
128,0.098097,0.00039269
129,0.096808,0.00038519
130,0.097452,0.00037763
131,0.095407,0.00037002
132,0.094613,0.00036236
133,0.095454,0.00035466
134,0.093648,0.00034692
135,0.093623,0.00033915
136,0.092939,0.00033135
137,0.091641,0.00032353
138,0.092159,0.00031569
139,0.091814,0.00030784
140,0.090954,0.00029999
141,0.090606,0.00029213
142,0.088989,0.00028429
143,0.089781,0.00027645
144,0.088857,0.00026863
145,0.088648,0.00026083
146,0.087906,0.00025306
147,0.087273,0.00024532
148,0.087153,0.00023761
149,0.086596,0.00022995
150,0.086181,0.00022234
151,0.086434,0.00021478
152,0.084425,0.00020728
153,0.085713,0.00019985
154,0.084445,0.00019248
155,0.083927,0.00018518
156,0.084700,0.00017797
157,0.082567,0.00017084
158,0.083894,0.00016379
159,0.082754,0.00015684
160,0.081916,0.00014999
161,0.081453,0.00014324
162,0.081119,0.00013660
163,0.081142,0.00013007
164,0.080560,0.00012366
165,0.080938,0.00011736
166,0.080428,0.00011120
167,0.079788,0.00010516
168,0.078448,0.00009925
169,0.079786,0.00009349
170,0.079071,0.00008786
171,0.078881,0.00008238
172,0.079854,0.00007705
173,0.078299,0.00007187
174,0.078641,0.00006685
175,0.078258,0.00006199
176,0.078020,0.00005729
177,0.077668,0.00005276
178,0.076883,0.00004839
179,0.077689,0.00004420
180,0.077026,0.00004019
181,0.077398,0.00003635
182,0.076631,0.00003269
183,0.076894,0.00002922
184,0.075889,0.00002593
185,0.076933,0.00002283
186,0.076454,0.00001992
187,0.076578,0.00001721
188,0.075591,0.00001468
189,0.075581,0.00001235
190,0.075220,0.00001022
191,0.076125,0.00000829
192,0.075682,0.00000656
193,0.076267,0.00000502
194,0.074831,0.00000369
195,0.075537,0.00000257
196,0.075413,0.00000164
197,0.075379,0.00000093
198,0.076277,0.00000041
199,0.075640,0.00000010
200,0.075273,0.00000000
