epoch,train_loss,val_loss,delta1,delta2,delta3,rmse,abs_rel,sq_rel,silog
1,0.9916,0.7265,0.9784,0.9947,0.9993,1.9441,0.1752,0.4966,nan
2,0.0997,0.2854,0.9479,0.9850,0.9966,1.0674,0.1011,0.1784,nan
3,0.0732,0.2946,0.9482,0.9849,0.9966,0.9810,0.0989,0.1504,nan
1,1.2270,0.8010,0.9839,0.9964,0.9996,1.9858,0.1926,0.5080,nan
2,0.1019,0.3035,0.9482,0.9850,0.9969,0.9851,0.0984,0.1530,nan
3,0.0677,0.2879,0.9178,0.9757,0.9941,1.0179,0.1122,0.1899,nan
4,0.0621,0.2793,0.9337,0.9812,0.9952,0.9278,0.0954,0.1535,nan
5,0.0602,0.2476,0.9381,0.9823,0.9961,0.9682,0.0969,0.1629,nan
6,0.0714,0.2712,0.9238,0.9767,0.9943,0.9399,0.0972,0.1648,nan
7,0.0683,0.2496,0.9322,0.9802,0.9956,0.9609,0.0965,0.1653,nan
8,0.0653,0.2463,0.9479,0.9854,0.9966,0.9832,0.0948,0.1623,nan
9,0.0627,0.2415,0.9326,0.9805,0.9957,0.9404,0.0935,0.1619,nan
10,0.0616,0.2652,0.9274,0.9788,0.9951,0.9566,0.0977,0.1715,nan
11,0.0598,0.2568,0.9508,0.9883,0.9976,1.0641,0.0970,0.1874,nan
12,0.0582,0.2722,0.9456,0.9853,0.9968,0.9608,0.0960,0.1511,nan
13,0.0569,0.2389,0.9434,0.9862,0.9970,0.9275,0.0909,0.1457,nan
14,0.0548,0.2528,0.9501,0.9882,0.9975,0.9721,0.0927,0.1532,nan
15,0.0539,0.2583,0.9394,0.9841,0.9967,0.9249,0.0923,0.1475,nan
16,0.0513,0.2367,0.9352,0.9823,0.9960,0.9756,0.0940,0.1708,nan
17,0.0487,0.2345,0.9461,0.9869,0.9973,0.9574,0.0907,0.1523,nan
18,0.0482,0.2336,0.9465,0.9868,0.9973,0.9411,0.0902,0.1445,nan
19,0.0467,0.2390,0.9382,0.9840,0.9964,0.9196,0.0907,0.1476,nan
20,0.0454,0.2262,0.9397,0.9845,0.9962,0.9281,0.0908,0.1518,nan
21,0.0456,0.2428,0.9429,0.9854,0.9970,0.9549,0.0918,0.1552,nan
22,0.0436,0.2370,0.9477,0.9875,0.9973,0.9485,0.0889,0.1477,nan
23,0.0429,0.2474,0.9462,0.9865,0.9968,0.9400,0.0903,0.1457,nan
24,0.0417,0.2438,0.9413,0.9857,0.9970,0.9184,0.0891,0.1440,nan
25,0.0417,0.2530,0.9493,0.9881,0.9974,0.9274,0.0895,0.1370,nan
26,0.0415,0.2671,0.9546,0.9900,0.9979,0.9588,0.0907,0.1391,nan
27,0.0393,0.2671,0.9374,0.9830,0.9963,0.9126,0.0908,0.1437,0.1332
28,0.0384,0.2375,0.9486,0.9878,0.9972,0.9180,0.0884,0.1363,0.1432
29,0.0383,0.2560,0.9381,0.9837,0.9961,0.9172,0.0902,0.1450,0.1344
30,0.0381,0.2406,0.9502,0.9897,0.9979,0.9161,0.0881,0.1313,0.1376
31,0.0368,0.2592,0.9466,0.9878,0.9975,0.9108,0.0883,0.1326,0.1317
32,0.0363,0.2356,0.9512,0.9895,0.9979,0.9031,0.0858,0.1295,0.1375
33,0.0356,0.2584,0.9467,0.9873,0.9975,0.9114,0.0886,0.1349,0.1332
34,0.0356,0.2528,0.9455,0.9871,0.9974,0.9068,0.0876,0.1355,0.1336
35,0.0347,0.2711,0.9507,0.9887,0.9978,0.9120,0.0877,0.1309,0.1308
36,0.0348,0.3118,0.9558,0.9904,0.9981,0.9835,0.0925,0.1432,0.1392
37,0.0348,0.2828,0.9472,0.9872,0.9973,0.9057,0.0878,0.1339,0.1289
38,0.0340,0.2858,0.9499,0.9882,0.9975,0.8908,0.0856,0.1276,0.1268
39,0.0338,0.2981,0.9519,0.9888,0.9978,0.8975,0.0865,0.1261,0.1268
40,0.0339,0.2951,0.9450,0.9866,0.9973,0.8975,0.0882,0.1319,0.1256
41,0.0334,0.2879,0.9461,0.9869,0.9973,0.8990,0.0864,0.1320,0.1271
42,0.0324,0.3018,0.9567,0.9894,0.9979,0.9206,0.0869,0.1283,0.1295
