epoch,train_loss,val_loss,delta1,delta2,delta3,rmse,abs_rel,sq_rel,silog
1,0.9662,0.8272,0.9957,0.9994,1.0000,2.0204,0.6476,1.2555,nan
2,0.7227,0.7577,0.9992,1.0000,1.0000,1.7709,0.5578,0.9444,nan
3,0.7121,0.6922,0.9988,0.9999,1.0000,1.7060,0.5262,0.8611,nan
4,0.6079,0.5212,0.9945,0.9994,1.0000,1.4493,0.4396,0.6306,nan
5,0.5176,0.4344,0.9906,0.9983,0.9998,1.3183,0.3894,0.5153,nan
6,0.4293,0.3676,0.9871,0.9975,0.9997,1.1971,0.3468,0.4236,nan
7,0.3564,0.3846,0.9883,0.9977,0.9996,1.2134,0.3465,0.4199,nan
8,0.2916,0.2668,0.9692,0.9925,0.9985,0.9923,0.2727,0.2861,nan
9,0.2356,0.2961,0.9803,0.9951,0.9992,1.0322,0.2802,0.2976,nan
10,0.1945,0.2185,0.9585,0.9883,0.9974,0.8855,0.2320,0.2216,nan
11,0.1561,0.2225,0.9650,0.9916,0.9979,0.9056,0.2247,0.2201,nan
12,0.1344,0.1960,0.9510,0.9872,0.9972,0.8185,0.2064,0.1862,0.3021
13,0.1084,0.1752,0.9343,0.9837,0.9957,0.7569,0.1841,0.1603,0.2631
14,0.0924,0.1768,0.9408,0.9845,0.9963,0.7556,0.1798,0.1554,nan
15,0.0798,0.1617,0.9196,0.9798,0.9951,0.7250,0.1733,0.1482,0.2534
16,0.0727,0.1594,0.9174,0.9803,0.9955,0.7116,0.1695,0.1421,0.2378
17,0.0627,0.1541,0.9011,0.9766,0.9945,0.7033,0.1656,0.1395,nan
18,0.0572,0.1616,0.9126,0.9795,0.9952,0.7115,0.1704,0.1429,0.2297
19,0.0526,0.1487,0.9043,0.9781,0.9947,0.6881,0.1611,0.1334,0.2255
20,0.0496,0.1516,0.8645,0.9699,0.9915,0.6907,0.1681,0.1442,0.2245
21,0.0510,0.1480,0.8743,0.9710,0.9930,0.6819,0.1644,0.1372,0.2201
22,0.0475,0.1612,0.8846,0.9720,0.9937,0.6843,0.1634,0.1361,0.2174
23,0.0477,0.1669,0.8993,0.9768,0.9948,0.6941,0.1664,0.1374,0.2153
24,0.0462,0.1617,0.8773,0.9710,0.9931,0.6820,0.1648,0.1378,0.2160
25,0.0457,0.1573,0.8846,0.9736,0.9936,0.6792,0.1622,0.1352,0.2157
26,0.0444,0.1588,0.8952,0.9759,0.9949,0.6800,0.1590,0.1312,0.2126
27,0.0435,0.1677,0.8962,0.9750,0.9945,0.6761,0.1599,0.1317,0.2098
28,0.0433,0.1683,0.8830,0.9728,0.9932,0.6828,0.1654,0.1375,0.2148
29,0.0425,0.1666,0.8429,0.9637,0.9902,0.6836,0.1718,0.1459,0.2126
30,0.0420,0.1668,0.8592,0.9681,0.9913,0.6785,0.1658,0.1405,0.2109
31,0.0411,0.1649,0.8800,0.9726,0.9929,0.6710,0.1615,0.1331,0.2100
32,0.0413,0.1842,0.8574,0.9695,0.9909,0.6840,0.1671,0.1435,0.2113
33,0.0409,0.1785,0.8552,0.9673,0.9905,0.6773,0.1662,0.1416,0.2103
34,0.0406,0.1689,0.8651,0.9690,0.9918,0.6720,0.1640,0.1369,0.2098
35,0.0402,0.1763,0.8600,0.9670,0.9913,0.6745,0.1668,0.1393,0.2094
36,0.0395,0.1770,0.8790,0.9719,0.9928,0.6769,0.1640,0.1361,0.2095
37,0.0386,0.1835,0.8854,0.9739,0.9938,0.6864,0.1664,0.1395,0.2120
38,0.0373,0.1720,0.8600,0.9695,0.9916,0.6697,0.1635,0.1368,0.2076
39,0.0370,0.1663,0.8701,0.9721,0.9922,0.6671,0.1618,0.1342,0.2079
40,0.0362,0.1732,0.8735,0.9702,0.9926,0.6733,0.1633,0.1351,0.2086
41,0.0363,0.1810,0.8751,0.9720,0.9931,0.6764,0.1642,0.1361,0.2095
42,0.0358,0.1741,0.8764,0.9728,0.9928,0.6693,0.1612,0.1334,0.2085
43,0.0355,0.1698,0.8897,0.9727,0.9935,0.6805,0.1625,0.1346,0.2109
44,0.0357,0.1788,0.8513,0.9663,0.9897,0.6736,0.1664,0.1413,0.2087
45,0.0347,0.1726,0.8617,0.9713,0.9911,0.6693,0.1624,0.1364,0.2078
46,0.0348,0.1853,0.8458,0.9674,0.9890,0.6860,0.1693,0.1467,0.2101
47,0.0337,0.1759,0.8659,0.9690,0.9903,0.6694,0.1637,0.1372,0.2076
48,0.0332,0.1842,0.8663,0.9693,0.9908,0.6803,0.1684,0.1418,0.2105
49,0.0332,0.1771,0.8705,0.9720,0.9910,0.6681,0.1608,0.1348,0.2059
50,0.0327,0.1790,0.8317,0.9618,0.9881,0.6822,0.1728,0.1486,0.2085
51,0.0330,0.1743,0.8910,0.9739,0.9934,0.6740,0.1601,0.1324,0.2076
52,0.0323,0.1773,0.8645,0.9692,0.9902,0.6693,0.1633,0.1373,0.2071
