epoch,train_loss,val_loss,delta1,delta2,delta3,rmse,abs_rel,sq_rel,silog
1,0.9098,0.6968,0.9949,0.9989,0.9999,1.9782,0.5958,1.1330,nan
2,0.4434,0.6086,0.9902,0.9991,1.0000,1.5288,0.4726,0.7187,nan
3,0.5711,0.6102,0.9963,0.9995,1.0000,1.5646,0.4705,0.7165,nan
4,0.4935,0.4283,0.9834,0.9973,0.9998,1.2825,0.3779,0.4938,nan
5,0.4116,0.3560,0.9813,0.9964,0.9996,1.1575,0.3323,0.3966,0.3938
6,0.3326,0.2842,0.9675,0.9933,0.9991,1.0062,0.2862,0.3028,0.3518
7,0.2676,0.3024,0.9793,0.9946,0.9992,1.0545,0.2850,0.3095,0.3199
8,0.2124,0.2372,0.9662,0.9913,0.9986,0.9063,0.2365,0.2275,0.2836
9,0.1664,0.1913,0.9373,0.9854,0.9966,0.8135,0.2057,0.1857,0.2798
10,0.1357,0.1884,0.9423,0.9853,0.9970,0.7955,0.1968,0.1744,0.2640
11,0.1094,0.1715,0.9248,0.9837,0.9963,0.7686,0.1787,0.1572,0.2518
12,0.0955,0.1628,0.9101,0.9799,0.9948,0.7303,0.1738,0.1481,0.2370
13,0.0801,0.1606,0.8732,0.9715,0.9918,0.7190,0.1773,0.1544,0.2388
14,0.0693,0.1626,0.8871,0.9739,0.9923,0.7023,0.1728,0.1462,0.2246
15,0.0647,0.1590,0.8941,0.9750,0.9931,0.6915,0.1670,0.1393,0.2210
16,0.0601,0.1848,0.8562,0.9669,0.9908,0.7042,0.1753,0.1534,0.2236
17,0.0549,0.1682,0.8627,0.9682,0.9912,0.6862,0.1690,0.1433,0.2185
18,0.0530,0.1671,0.8957,0.9747,0.9936,0.6878,0.1653,0.1371,0.2168
19,0.0514,0.1558,0.8878,0.9733,0.9928,0.6849,0.1656,0.1366,0.2163
20,0.0496,0.1857,0.8381,0.9625,0.9894,0.6895,0.1745,0.1508,0.2162
21,0.0498,0.1818,0.8604,0.9664,0.9912,0.6768,0.1654,0.1391,0.2117
22,0.0499,0.1776,0.8789,0.9700,0.9919,0.6753,0.1628,0.1355,0.2126
23,0.0492,0.1759,0.8737,0.9682,0.9914,0.6718,0.1638,0.1360,0.2115
24,0.0483,0.1749,0.8632,0.9659,0.9914,0.6680,0.1658,0.1369,0.2099
25,0.0466,0.1916,0.8580,0.9664,0.9903,0.6891,0.1695,0.1470,0.2131
26,0.0463,0.1773,0.8872,0.9719,0.9927,0.6722,0.1624,0.1335,0.2114
27,0.0441,0.1807,0.8858,0.9716,0.9923,0.6705,0.1608,0.1333,0.2097
28,0.0432,0.1853,0.8707,0.9673,0.9913,0.6710,0.1643,0.1365,0.2106
29,0.0430,0.1916,0.8503,0.9623,0.9892,0.6805,0.1724,0.1453,0.2140
30,0.0424,0.1889,0.8569,0.9646,0.9895,0.6756,0.1684,0.1428,0.2111
31,0.0417,0.1802,0.8798,0.9701,0.9923,0.6695,0.1630,0.1337,0.2103
32,0.0399,0.1962,0.8337,0.9594,0.9879,0.6905,0.1740,0.1521,0.2104
33,0.0409,0.1859,0.8569,0.9637,0.9898,0.6757,0.1680,0.1414,0.2109
34,0.0398,0.1814,0.8708,0.9674,0.9915,0.6715,0.1626,0.1358,0.2093
35,0.0396,0.1908,0.8450,0.9622,0.9888,0.6817,0.1692,0.1457,0.2096
36,0.0398,0.1828,0.8663,0.9654,0.9909,0.6692,0.1647,0.1365,0.2093
37,0.0375,0.1842,0.8816,0.9699,0.9916,0.6693,0.1618,0.1339,0.2083
38,0.0379,0.1842,0.8527,0.9641,0.9902,0.6710,0.1659,0.1396,0.2087
39,0.0374,0.1747,0.8629,0.9664,0.9902,0.6683,0.1643,0.1379,0.2075
40,0.0369,0.1814,0.8714,0.9671,0.9914,0.6710,0.1623,0.1346,0.2078
41,0.0361,0.1821,0.8755,0.9700,0.9910,0.6721,0.1612,0.1352,0.2074
42,0.0363,0.1816,0.8929,0.9722,0.9925,0.6727,0.1598,0.1322,0.2094
43,0.0360,0.1781,0.8774,0.9688,0.9911,0.6653,0.1606,0.1326,0.2069
44,0.0359,0.1903,0.8359,0.9599,0.9888,0.6812,0.1713,0.1466,0.2094
45,0.0351,0.1785,0.8580,0.9645,0.9903,0.6709,0.1646,0.1379,0.2087
46,0.0349,0.1850,0.8507,0.9640,0.9896,0.6761,0.1670,0.1417,0.2086
47,0.0333,0.1832,0.8595,0.9661,0.9896,0.6719,0.1634,0.1388,0.2063
48,0.0340,0.1811,0.8850,0.9733,0.9921,0.6725,0.1602,0.1326,0.2080
49,0.0342,0.1812,0.8732,0.9677,0.9906,0.6756,0.1621,0.1364,0.2089
50,0.0336,0.1842,0.8541,0.9642,0.9894,0.6737,0.1664,0.1401,0.2084
51,0.0329,0.1781,0.8852,0.9711,0.9919,0.6659,0.1582,0.1305,0.2062
52,0.0325,0.1817,0.8538,0.9628,0.9892,0.6734,0.1664,0.1404,0.2087
53,0.0310,0.1809,0.8635,0.9662,0.9906,0.6719,0.1644,0.1371,0.2086
54,0.0326,0.1775,0.8732,0.9696,0.9906,0.6652,0.1596,0.1336,0.2066
55,0.0305,0.1778,0.8558,0.9645,0.9896,0.6667,0.1657,0.1376,0.2068
56,0.0309,0.1743,0.8987,0.9750,0.9926,0.6668,0.1556,0.1274,0.2057
57,0.0307,0.1786,0.8695,0.9678,0.9902,0.6658,0.1609,0.1347,0.2066
58,0.0298,0.1832,0.8560,0.9665,0.9896,0.6750,0.1644,0.1398,0.2077
59,0.0312,0.1769,0.8870,0.9712,0.9919,0.6727,0.1587,0.1313,0.2066
60,0.0314,0.1819,0.8568,0.9658,0.9887,0.6738,0.1649,0.1407,0.2078
61,0.0301,0.1855,0.8452,0.9637,0.9883,0.6818,0.1687,0.1453,0.2085
62,0.0290,0.1768,0.8648,0.9667,0.9888,0.6660,0.1621,0.1369,0.2062
63,0.0291,0.1757,0.8896,0.9725,0.9906,0.6694,0.1575,0.1321,0.2071
64,0.0293,0.1823,0.8579,0.9657,0.9889,0.6736,0.1650,0.1406,0.2083
65,0.0286,0.1781,0.8599,0.9659,0.9894,0.6676,0.1626,0.1368,0.2054
66,0.0284,0.1744,0.8669,0.9679,0.9900,0.6646,0.1607,0.1337,0.2065
67,0.0280,0.1740,0.8711,0.9680,0.9898,0.6637,0.1599,0.1335,0.2063
68,0.0276,0.1753,0.8631,0.9665,0.9891,0.6677,0.1622,0.1363,0.2070
69,0.0289,0.1780,0.8584,0.9646,0.9887,0.6695,0.1638,0.1388,0.2069
70,0.0282,0.1730,0.8881,0.9724,0.9915,0.6660,0.1565,0.1295,0.2059
71,0.0278,0.1741,0.8738,0.9694,0.9900,0.6654,0.1592,0.1329,0.2061
72,0.0282,0.1767,0.8832,0.9713,0.9909,0.6705,0.1590,0.1326,0.2078
73,0.0278,0.1834,0.8563,0.9662,0.9883,0.6785,0.1653,0.1423,0.2079
74,0.0275,0.1757,0.8923,0.9723,0.9919,0.6772,0.1571,0.1309,0.2073
75,0.0281,0.1796,0.8462,0.9634,0.9880,0.6726,0.1670,0.1420,0.2074
76,0.0277,0.1753,0.8635,0.9678,0.9890,0.6697,0.1616,0.1370,0.2065
77,0.0268,0.1748,0.8689,0.9685,0.9893,0.6661,0.1601,0.1347,0.2059
78,0.0263,0.1755,0.8695,0.9677,0.9898,0.6670,0.1607,0.1348,0.2063
79,0.0267,0.1719,0.8867,0.9722,0.9905,0.6674,0.1568,0.1310,0.2062
80,0.0262,0.1712,0.8725,0.9685,0.9897,0.6664,0.1593,0.1333,0.2061
81,0.0256,0.1736,0.8812,0.9712,0.9904,0.6688,0.1576,0.1324,0.2064
82,0.0256,0.1777,0.8558,0.9660,0.9879,0.6748,0.1647,0.1412,0.2076
83,0.0260,0.1752,0.8582,0.9665,0.9886,0.6722,0.1634,0.1384,0.2073
84,0.0247,0.1694,0.8771,0.9700,0.9898,0.6661,0.1581,0.1320,0.2060
85,0.0248,0.1747,0.8730,0.9679,0.9896,0.6705,0.1605,0.1353,0.2073
86,0.0247,0.1717,0.8677,0.9684,0.9899,0.6686,0.1610,0.1346,0.2075
87,0.0248,0.1777,0.8642,0.9688,0.9891,0.6770,0.1623,0.1394,0.2079
88,0.0246,0.1745,0.8625,0.9666,0.9887,0.6709,0.1625,0.1382,0.2075
89,0.0247,0.1731,0.8753,0.9695,0.9902,0.6677,0.1591,0.1336,0.2063
90,0.0253,0.1707,0.8864,0.9715,0.9913,0.6696,0.1569,0.1310,0.2068
91,0.0241,0.1712,0.8730,0.9688,0.9896,0.6670,0.1593,0.1336,0.2068
92,0.0240,0.1770,0.8543,0.9667,0.9885,0.6760,0.1645,0.1406,0.2075
93,0.0246,0.1746,0.8667,0.9665,0.9891,0.6726,0.1618,0.1364,0.2075
94,0.0231,0.1725,0.8692,0.9687,0.9887,0.6681,0.1600,0.1354,0.2061
95,0.0237,0.1708,0.8724,0.9692,0.9896,0.6657,0.1584,0.1327,0.2050
96,0.0238,0.1719,0.8744,0.9688,0.9896,0.6701,0.1599,0.1338,0.2075
97,0.0233,0.1715,0.8783,0.9699,0.9901,0.6658,0.1581,0.1321,0.2060
98,0.0239,0.1730,0.8773,0.9717,0.9902,0.6699,0.1582,0.1334,0.2075
99,0.0235,0.1716,0.8830,0.9710,0.9909,0.6724,0.1581,0.1319,0.2073
100,0.0229,0.1729,0.8797,0.9702,0.9898,0.6713,0.1584,0.1342,0.2071
